"watershed_name","money_funded_sum","divided_1000_sum","money_funded_mean","divided_1000_mean","money_funded_median","divided_1000_median","money_funded_sum_pcsrf","divided_1000_pcsrf_sum","money_funded_mean_pcsrf","divided_1000_pcsrf_mean","money_funded_median_pcsrf","divided_1000_pcsrf_median","money_funded_sum_state","divided_1000_state_sum","money_funded_mean_state","divided_1000_state_mean","money_funded_median_state","divided_1000_state_median","money_funded_sum_others","divided_1000_others_sum"
"Clackamas",390500,390.5,32541.67,32.54,32541.67,32.54,287120,287.12,41017.14,41.02,60000,60,103380,103.38,14768.57,14.77,9924,9.92,0,0
"Coast Fork Willamette",437775,437.78,54721.88,54.72,54721.88,54.72,423200,423.2,60457.14,60.46,32300,32.3,4740,4.74,4740,4.74,4740,4.74,9835,9.84
"Lower Willamette",1132902,1132.9,35403.19,35.4,35403.19,35.4,3800,3.8,1900,1.9,1900,1.9,1129102,1129.1,36422.65,36.42,8000,8,0,0
"Mckenzie",3383642,3383.64,78689.35,78.69,78689.35,78.69,588148,588.15,14703.7,14.7,5988,5.99,2795494,2795.49,79871.26,79.87,84163,84.16,0,0
"Middle Fork Willamette",211678,211.68,17639.83,17.64,17639.83,17.64,139000,139,46333.33,46.33,45000,45,72678,72.68,7267.8,7.27,6938,6.94,0,0
"Middle Willamette",680814,680.81,34040.7,34.04,34040.7,34.04,272130,272.13,27213,27.21,13492,13.49,408684,408.68,24040.24,24.04,9900,9.9,0,0
"Molalla-Pudding",218139,218.14,12831.71,12.83,12831.71,12.83,20870,20.87,10435,10.44,10435,10.44,186269,186.27,11641.81,11.64,5897,5.9,11000,11
"North Santiam",49641,49.64,49641,49.64,49641,49.64,49641,49.64,49641,49.64,49641,49.64,0,0,NA,NA,NA,NA,0,0
"South Santiam",45631,45.63,22815.5,22.82,22815.5,22.82,0,0,NA,NA,NA,NA,45631,45.63,22815.5,22.82,22815.5,22.82,0,0
"Tualatin",606253,606.25,46634.85,46.63,46634.85,46.63,403288,403.29,201644,201.64,201644,201.64,202965,202.96,16913.75,16.91,8771,8.77,0,0
"Upper Calapooia River",172940,172.94,34588,34.59,34588,34.59,10345,10.35,5172.5,5.17,5172.5,5.17,162595,162.6,54198.33,54.2,1000,1,0,0
"Upper Willamette",3636291,3636.29,49139.07,49.14,49139.07,49.14,2645121,2645.12,80155.18,80.16,54101,54.1,991170,991.17,19823.4,19.82,9960.5,9.96,0,0
"Yamhill",871336,871.34,48407.56,48.41,48407.56,48.41,582690,582.69,48557.5,48.56,41500,41.5,273646,273.65,27364.6,27.36,4264,4.26,15000,15
