"Name","Descriptio","Constructi","Techniques","Habitats","Acres_Rest","Acres_Prot","Cost","NOAA_Contr","Percent_fu","name_12","date_finished","high_priority_areas","year_finished"
"Deer and Gate Creek Restoration - Strassmaier Property","This project has provided fish habitat and has reduced streambank erosion. On the Strassmaier property, tree/log structures were placed on the far bank to add Large Woody Debris (LWD) to the creek.  On the near bank, 2 rootwad trees were placed to provid",1998-12-01,"erosion control, large woody debris/structure placement","in-stream",0,"0",130710,7500,0.0573788993060589,"Mckenzie",1998-12-01,"High Priority",1998
"Deer and Gate Creek Restoration - O'Leary Farm","O'Leary's is a fifteen-acre sheep farm on the banks of Gate Creek. The project's purpose was to protect and enhance Gate Creek's riparian area. This was accomplished through the replacement of the old, broken down fencing with over 1200 feet of new fenci",1998-12-01,"fencing/netting, planting","in-stream, riparian zone (non-wetland)",0,"0.28",130710,7500,0.0573788993060589,"Mckenzie",1998-12-01,"High Priority",1998
"Deer and Gate Creek Restoration - Bennett Place","This project replaced damaged fencing to protect the riparian area. On the Bennett Place, 800 feet of new electric fencing was installed to exclude cattle from the riparian zone. In addition, an off-stream watering system (including two nose-pumps) was i",2000-02-01,"fencing/netting, planting","riparian zone (non-wetland)",2,"0",130710,7500,0.0573788993060589,"Mckenzie",2000-02-01,"High Priority",2000
"Deer and Gate Creek Restoration - Eagle Rock Lodge","To improve riparian habitat for fish and wildlife, 2 acres and over 300 native trees and shrubs have been planted at Eagle Rock Lodge in the riparian zone. This project helps to benefit water quality and temperature.",1998-12-01,"planting","riparian zone (non-wetland)",2,"0",130710,7500,0.0573788993060589,"Mckenzie",1998-12-01,"High Priority",1998
"Henrici Road Fish Passage Improvements","This project replaced 2 culverts at Milepost 4.12 of Henrici Road where it crosses Abernathy Creek. It provides important salmon habitat. The culverts were blockages for both adult and juvenile salmon. The construction area was revegetated with native gr",2001-08-31,"culvert removal","in-stream, riparian zone (non-wetland)",0.5,"0",58388,16000,0.274026989936829,"Middle Willamette",2001-08-31,"Not Prioritized",2001
"Lower Powell Butte Salmon Habitat Restoration","The site, now known as the Alsop Brownwood, is part of a larger restoration effort around the entire confluence area of the mainstem of Johnson Creek and the tributary Kelly Creek.",2001-11-01,"invasives removal: vegetation, planting","freshwater wetland, riparian zone (non-wetland)",28.6,"0",225000,75000,0.333332985639572,"Lower Willamette",2001-11-01,"Not Prioritized",2001
"McKenzie Watershed Habitat Restoration","Watershed restoration projects will take place on four medium-sized tributaries to the McKenzie River.  Activities will include streambank fencing, revegetation, and placement of large woody debris.",2001-08-01,"fencing/netting, large woody debris/structure placement, planting","in-stream",0.5,"0",48050,15400,0.320499002933502,"Mckenzie",2001-08-01,"High Priority",2001
"Lower Middle Fork Willamette Watershed Plan","This project contained two components:  1) completion of watershed assessment work that began in 2001, and 2) development of a five-year, restoration-based action plan for the assessed area.  The assessment and action plan area included the lowest three",2002-02-28,"research/recommendations/surveys",NA,0,"0",20000,20000,1,"Middle Fork Willamette",2002-02-28,"High Priority",2002
"Lower Coast Fork Willamette Watershed Plan","The Coast Fork Willamette Watershed Council conducted an assessment of the Lower Coast Fork River. The assessment focused on the lower 20 percent of the watershed, an area that is undergoing substantial development. Floodplain and wetland communities in",2002-02-28,"research/recommendations/surveys",NA,0,"0",22500,22500,1,"Coast Fork Willamette",2002-02-28,"Not Prioritized",2002
"Rickreall Watershed Council Action Plan","This project filled in critical data gaps identified from the Rickreall Watershed Assessment. A consultant traversed the length of Rickreall Creek, recording conditions and GPS marking at the creek. This data will be combined with existing data and used",2002-01-31,"research/recommendations/surveys",NA,0,"0",17182,17182,1,"Middle Willamette",2002-01-31,"Not Prioritized",2002
